CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SeniorCitizen,SupportCalls,StreamingService,PaperlessBilling,Churn
CUST00036,32.0,Male,4,75.98,4276.45,Month-to-month,Fiber optic,Electronic check,No,2,No,Yes,No
CUST00037,64.0,Male,6,72.01,5816.5,Month-to-month,Fiber optic,Mailed check,Yes,2,Yes,Yes,No
CUST00038,68.0,Male,3,81.07,3795.97,Month-to-month,Fiber optic,Electronic check,Yes,1,Yes,No,Yes
CUST00039,61.0,Male,0,46.43,534.62,Month-to-month,Fiber optic,Credit card,Yes,0,Yes,Yes,Yes
CUST00040,69.0,Female,8,48.72,5001.47,Month-to-month,No,Credit card,Yes,1,Yes,No,No
CUST00041,20.0,Female,4,71.13,4110.14,Two year,fiber optic,Electronic check,No,1,Yes,Yes,No
CUST00042,54.0,Male,10,100.67,13249.14,Month-to-month,Fiber optic,Mailed check,No,0,Yes,Yes,No
CUST00043,68.0,Male,1,24.99,366.45,Month-to-month,DSL,Mailed check,Yes,3,No,Yes,No
CUST00044,24.0,Male,7,80.34,6845.04,Two year,DSL,Mailed check,No,0,Yes,No,Yes
CUST00045,38.0,Male,10,100.68,13144.64,Month-to-month,No,Mailed check,No,0,Yes,No,Yes
CUST00046,26.0,Female,1,35.69,540.63,Month-to-month,Fiber optic,Bank transfer,No,1,Yes,No,No
CUST00047,56.0,Male,2,21.5,,Month-to-month,No,Bank transfer,No,0,Yes,No,No
CUST00048,35.0,Male,9,51.27,5678.72,Month-to-month,Fiber optic,Electronic check,No,2,Yes,Yes,No
CUST00049,21.0,Male,0,78.81,411.8,Month-to-month,No,Bank transfer,No,2,Yes,Yes,Yes
CUST00050,42.0,Male,10,33.83,4175.03,Month-to-month,Fiber optic,Bank transfer,No,0,Yes,Yes,Yes
CUST00051,31.0,Female,1,62.61,1024.16,Two year,DSL,Bank transfer,No,2,No,No,Yes
CUST00052,67.0,Male,6,75.23,6298.88,Month-to-month,No,Electronic check,Yes,1,No,No,No
CUST00053,26.0,Female,9,79.89,9327.03,Month-to-month,DSL,Bank transfer,No,1,No,Yes,No
CUST00054,43.0,Female,1,47.44,988.37,One year,Fiber optic,Mailed check,No,3,No,Yes,Yes
CUST00055,19.0,Male,5,60.0,3722.49,Month-to-month,Fiber optic,Mailed check,No,1,Yes,No,Yes
CUST00056,37.0,Male,2,97.83,3233.58,Month-to-month,DSL,Electronic check,No,2,No,No,No
CUST00057,45.0,Male,3,114.12,5150.55,Two year,DSL,Electronic check,No,2,No,Yes,No
CUST00058,64.0,Male,10,106.19,13619.63,Two year,Fiber optic,Electronic check,Yes,1,Yes,Yes,Yes
CUST00059,24.0,Male,7,76.43,6688.6,One year,DSL,Credit card,No,0,No,Yes,No
CUST00060,61.0,Female,2,61.03,1809.75,Month-to-month,Fiber optic,Bank transfer,Yes,0,Yes,No,No
CUST00061,25.0,Female,9,53.3,6305.87,Two year,Fiber optic,Electronic check,No,2,No,No,No
CUST00062,64.0,Female,5,32.5,2222.1,Month-to-month,Fiber optic,Electronic check,Yes,5,No,Yes,No
CUST00063,52.0,Female,0,30.66,277.79,Month-to-month,Fiber optic,Electronic check,No,3,No,Yes,Yes
CUST00064,31.0,Female,6,88.84,7059.33,Month-to-month,No,Mailed check,No,3,Yes,Yes,No
CUST00065,34.0,Male,7,45.98,4135.69,One year,DSL,Electronic check,No,0,Yes,No,No
CUST00066,53.0,Male,10,45.47,5881.53,Month-to-month,Fiber optic,Mailed check,No,2,No,No,No
CUST00067,67.0,Female,7,119.82,10274.23,One year,DSL,Mailed check,Yes,3,No,Yes,No
CUST00068,57.0,Male,2,38.79,1256.98,Two year,Fiber optic,Credit card,No,2,Yes,Yes,No
CUST00069,21.0,Male,9,34.81,4176.13,Month-to-month,Fiber optic,Electronic check,No,3,Yes,Yes,No
CUST00070,19.0,Female,0,29.87,286.22,One year,DSL,Credit card,No,3,No,No,No
CUST00071,23.0,Female,8,77.98,7813.3,Month-to-month,DSL,Electronic check,No,3,No,No,No
CUST00072,59.0,Female,5,82.79,5303.2,Month-to-month,Fiber optic,Bank transfer,No,3,No,No,No
CUST00073,21.0,Male,10,56.52,7253.74,Month-to-month,DSL,Electronic check,No,4,No,No,No
CUST00074,46.0,Female,8,73.54,7858.07,One year,DSL,Electronic check,No,1,Yes,Yes,No
CUST00075,35.0,Female,6,98.84,7843.69,Month-to-month,No,Electronic check,No,1,No,Yes,No
CUST00076,43.0,Male,0,101.81,692.45,Two year,DSL,Electronic check,No,4,Yes,No,No
CUST00077,61.0,Male,0,115.79,320.07,Two year,Fiber optic,Electronic check,Yes,2,Yes,No,No
CUST00078,51.0,Female,5,102.43,7054.36,Two year,DSL,Electronic check,No,3,Yes,No,No
CUST00079,27.0,Male,4,76.48,4338.35,Month-to-month,No,Credit card,No,0,Yes,Yes,Yes
CUST00080,53.0,Female,8,37.97,4086.96,Month-to-month,DSL,Bank transfer,No,3,Yes,No,Yes
CUST00081,31.0,Male,1,29.98,488.74,Month-to-month,Fiber optic,Credit card,No,2,Yes,Yes,No
CUST00082,48.0,Female,7,25.45,2375.02,One year,Fiber optic,Bank transfer,No,2,Yes,Yes,Yes
CUST00083,65.0,Male,10,86.65,10898.38,Two year,No,Credit card,Yes,2,Yes,Yes,No
CUST00084,32.0,Male,4,100.75,5555.68,One year,No,Credit card,No,1,Yes,No,No
CUST00085,25.0,Male,1,70.87,1557.79,One year,DSL,Electronic check,No,3,No,No,No
CUST00086,31.0,Female,9,25.47,2838.43,Month-to-month,No,Credit card,No,6,Yes,No,No
CUST00087,40.0,Female,10,73.55,9176.95,Two year,Fiber optic,Bank transfer,No,3,No,No,No
CUST00088,57.0,Female,10,113.57,14708.04,Month-to-month,No,Mailed check,No,2,Yes,Yes,No
CUST00089,38.0,Male,5,79.76,5365.86,Month-to-month,No,Bank transfer,No,1,Yes,Yes,No
CUST00090,33.0,Male,9,100.94,11105.08,Two year,Fiber optic,Credit card,No,3,No,No,No
CUST00091,62.0,Male,7,100.02,8975.0,One year,Fiber optic,Mailed check,Yes,2,Yes,Yes,No
CUST00092,35.0,Female,3,113.21,4919.31,Month-to-month,Fiber optic,Electronic check,No,2,Yes,Yes,Yes
CUST00093,64.0,Male,1,97.02,2231.92,Month-to-month,Fiber optic,Mailed check,Yes,2,No,No,Yes
CUST00094,41.0,Female,10,94.77,11663.66,Month-to-month,DSL,Electronic check,No,1,No,No,No
CUST00095,43.0,Female,4,43.41,,One year,DSL,Bank transfer,No,0,Yes,Yes,No
CUST00096,42.0,Female,1,25.99,375.21,Month-to-month,DSL,Mailed check,No,2,Yes,No,Yes
CUST00097,62.0,Female,1,71.76,1124.09,Two year,No,Mailed check,Yes,1,No,Yes,No
CUST00098,,Female,5,32.44,2065.67,Month-to-month,DSL,Mailed check,No,2,Yes,No,No
CUST00099,46.0,Male,10,116.22,15184.41,Month-to-month,DSL,Electronic check,No,1,Yes,Yes,No
CUST00100,32.0,Male,9,48.99,5447.16,Month-to-month,DSL,Electronic check,No,5,Yes,No,Yes
CUST00101,62.0,Male,8,105.29,11124.58,Month-to-month,Fiber optic,Bank transfer,Yes,2,No,Yes,No
CUST00102,18.0,Male,3,,2472.61,One year,No,Bank transfer,No,2,Yes,No,Yes
CUST00103,42.0,Male,5,52.32,3766.52,One year,Fiber optic,Credit card,No,1,No,No,No
CUST00104,24.0,Male,6,113.52,9334.75,Month-to-month,DSL,Electronic check,No,1,Yes,No,No
CUST00105,26.0,Female,10,56.33,7274.27,Month-to-month,No,Bank transfer,No,2,Yes,Yes,No
CUST00106,41.0,Male,5,,4166.22,Two year,DSL,Mailed check,No,3,Yes,No,Yes
CUST00107,18.0,Female,7,30.61,2815.33,Month-to-month,No,Mailed check,No,2,No,No,No
CUST00108,61.0,Female,3,87.04,4028.23,Month-to-month,DSL,Mailed check,Yes,6,No,Yes,Yes
CUST00109,25.0,Female,0,48.88,189.28,Month-to-month,Fiber optic,Bank transfer,No,1,No,No,Yes
CUST00110,41.0,Female,6,78.56,5819.31,One year,DSL,Mailed check,No,0,Yes,Yes,No
CUST00111,28.0,Female,2,79.14,2514.69,Month-to-month,No,Mailed check,No,6,Yes,Yes,Yes
CUST00112,68.0,Male,5,91.92,6046.64,Month-to-month,DSL,Electronic check,Yes,0,No,Yes,Yes
CUST00113,34.0,Male,1,94.52,1672.14,One year,DSL,Electronic check,No,2,No,Yes,No
CUST00114,25.0,Male,8,71.45,7344.65,Two year,No,Bank transfer,No,4,No,Yes,No
CUST00115,52.0,Female,0,53.1,264.18,Month-to-month,DSL,Electronic check,No,0,Yes,Yes,Yes
CUST00116,52.0,Male,5,103.75,7043.24,Month-to-month,Fiber optic,Credit card,No,1,Yes,No,No
CUST00117,50.0,Male,5,50.99,3127.54,Month-to-month,Fiber optic,Bank transfer,No,3,No,Yes,Yes
CUST00118,22.0,Female,4,70.75,4221.57,Month-to-month,Fiber optic,Credit card,No,1,Yes,No,No
CUST00119,59.0,Female,4,60.13,3558.0,Month-to-month,Fiber optic,Credit card,No,2,Yes,Yes,No
CUST00120,56.0,Male,0,105.51,1190.99,One year,No,Bank transfer,No,3,No,No,Yes
CUST00121,58.0,Female,9,63.19,7141.42,Two year,No,Electronic check,No,5,Yes,Yes,No
CUST00122,45.0,Female,4,58.61,3214.81,Two year,Fiber optic,Electronic check,No,2,No,Yes,No
CUST00123,24.0,Female,1,88.98,2090.62,Month-to-month,DSL,Bank transfer,No,2,No,No,Yes
CUST00124,26.0,Male,6,80.24,6653.97,One year,DSL,Credit card,No,2,No,No,No
CUST00125,25.0,Female,2,30.72,1035.04,Month-to-month,DSL,Bank transfer,No,1,No,Yes,No
CUST00126,29.0,Female,3,70.82,2937.66,Month-to-month,Fiber optic,Bank transfer,No,2,No,Yes,No
CUST00127,51.0,Female,2,93.55,2919.48,Two year,No,Mailed check,No,4,Yes,No,No
CUST00128,50.0,Female,2,119.21,4020.0,Two year,Fiber optic,Mailed check,No,2,No,No,No
CUST00129,65.0,Female,3,82.91,3316.66,Month-to-month,Fiber optic,Credit card,Yes,0,No,Yes,Yes
CUST00130,40.0,Male,4,57.03,3187.46,Month-to-month,Fiber optic,Electronic check,No,0,Yes,Yes,Yes
CUST00131,41.0,Male,0,42.62,430.77,Month-to-month,DSL,Mailed check,No,1,Yes,No,Yes
CUST00132,54.0,Female,3,107.28,4804.21,One year,Fiber optic,Mailed check,No,1,No,Yes,Yes
CUST00133,52.0,Female,10,101.46,12811.79,Two year,Fiber optic,Credit card,No,1,No,Yes,No
CUST00134,61.0,Male,7,43.39,3967.18,Month-to-month,Fiber optic,Bank transfer,Yes,5,No,No,No
CUST00135,57.0,Male,9,40.06,4802.21,Month-to-month,DSL,Mailed check,No,1,No,No,Yes
CUST00136,39.0,Female,6,91.51,7286.2,Month-to-month,Fiber optic,Electronic check,No,1,Yes,Yes,Yes
CUST00137,44.0,Female,8,51.5,5440.55,Month-to-month,DSL,Credit card,No,2,No,Yes,Yes
CUST00138,52.0,Male,4,50.64,2886.11,One year,DSL,Mailed check,No,3,No,No,No
CUST00139,18.0,Female,9,35.23,4111.92,Two year,Fiber optic,Credit card,No,0,No,No,No
CUST00140,52.0,Female,3,46.4,2082.43,Month-to-month,DSL,Mailed check,No,3,No,No,Yes
CUST00141,54.0,Male,7,62.75,5647.41,Month-to-month,No,Mailed check,No,3,Yes,No,No
CUST00142,64.0,Male,8,93.28,9534.69,Month-to-month,DSL,Credit card,Yes,2,Yes,No,Yes
CUST00143,31.0,Male,6,53.63,4191.0,Month-to-month,Fiber optic,Electronic check,No,1,No,Yes,No
CUST00144,20.0,Male,6,52.86,3878.12,Month-to-month,No,Electronic check,No,1,No,No,No
CUST00145,18.0,Female,4,48.49,2504.59,Month-to-month,Fiber optic,Bank transfer,No,0,No,No,No
CUST00146,22.0,Female,3,67.83,2625.03,Month-to-month,No,Mailed check,No,3,Yes,No,No
CUST00147,43.0,Female,9,38.06,4519.66,Month-to-month,Fiber optic,Bank transfer,No,2,No,Yes,No
CUST00148,31.0,Female,0,68.56,275.93,One year,No,Credit card,No,2,Yes,Yes,Yes
CUST00149,56.0,Male,9,90.42,9993.48,Month-to-month,DSL,Bank transfer,No,0,Yes,No,No
CUST00150,44.0,Male,9,22.98,2535.09,One year,DSL,Credit card,No,2,No,Yes,No
CUST00151,26.0,Female,6,20.98,1693.08,One year,Fiber optic,Electronic check,No,2,Yes,No,No
CUST00152,32.0,Female,0,27.51,29.35,Two year,Fiber optic,Credit card,No,3,Yes,No,No
CUST00153,32.0,Female,0,73.57,454.98,Month-to-month,Fiber optic,Credit card,No,1,No,No,Yes
CUST00154,43.0,Male,4,105.45,5304.93,One year,DSL,Bank transfer,No,1,No,Yes,No
CUST00155,59.0,Male,8,20.49,2179.04,Month-to-month,DSL,Mailed check,No,1,Yes,Yes,No
CUST00156,30.0,Male,5,113.67,8132.29,Two year,DSL,Bank transfer,No,1,Yes,Yes,No
CUST00157,68.0,Female,2,30.63,1088.78,One year,Fiber optic,Electronic check,Yes,2,Yes,No,No
CUST00158,49.0,Female,2,104.2,3111.58,Month-to-month,DSL,Electronic check,No,3,No,Yes,Yes
CUST00159,56.0,Female,6,68.29,5469.32,Month-to-month,DSL,Electronic check,No,0,Yes,No,No
CUST00160,66.0,Male,5,85.94,5809.26,Two year,DSL,Mailed check,Yes,1,No,Yes,No
CUST00161,69.0,Female,8,71.07,7167.44,Two year,Fiber optic,Bank transfer,Yes,2,Yes,No,Yes
CUST00162,49.0,Male,5,67.7,4460.39,Two year,No,Credit card,No,2,No,No,No
CUST00163,21.0,Female,4,103.49,5144.24,Two year,Fiber optic,Credit card,No,2,Yes,Yes,No
CUST00164,47.0,Female,9,95.59,11255.98,Two year,DSL,Mailed check,No,1,Yes,No,No
CUST00165,54.0,Male,6,68.34,5169.84,One year,DSL,Electronic check,No,5,No,Yes,No
CUST00166,40.0,Male,0,31.16,189.01,Month-to-month,Fiber optic,Mailed check,No,1,No,No,Yes
CUST00167,56.0,Female,6,31.54,2469.17,Month-to-month,Fiber optic,Credit card,No,2,Yes,No,No
CUST00168,62.0,Male,2,100.15,3121.46,One year,Fiber optic,Electronic check,Yes,5,Yes,Yes,No
CUST00169,32.0,Male,8,72.94,7731.4,Month-to-month,No,Mailed check,No,2,Yes,No,No
CUST00170,60.0,Male,5,68.16,4676.5,One year,No,Credit card,Yes,2,Yes,No,Yes
CUST00171,46.0,Male,8,88.06,9184.1,Month-to-month,DSL,Credit card,No,2,No,No,No
CUST00172,53.0,Male,4,105.88,5801.61,One year,DSL,Mailed check,No,3,Yes,No,Yes
CUST00173,30.0,Female,6,82.89,6138.46,Month-to-month,Fiber optic,Credit card,No,3,No,Yes,No
CUST00174,49.0,Female,3,96.28,3988.12,Month-to-month,Fiber optic,Bank transfer,No,1,No,Yes,No
CUST00175,24.0,Female,6,96.53,8063.2,Month-to-month,Fiber optic,Bank transfer,No,0,No,Yes,Yes
CUST00176,68.0,Female,0,55.63,664.84,Month-to-month,Fiber optic,Electronic check,Yes,0,No,No,Yes
CUST00177,39.0,Male,6,47.41,3841.89,Two year,DSL,Bank transfer,No,3,No,Yes,No
CUST00178,45.0,Female,7,100.12,8760.77,Month-to-month,No,Bank transfer,No,4,No,Yes,Yes
CUST00179,19.0,Male,4,57.72,2892.97,Two year,Fiber optic,Mailed check,No,4,Yes,No,No
CUST00180,59.0,Female,1,110.33,1937.66,Month-to-month,No,Electronic check,No,2,Yes,No,No
CUST00181,62.0,Female,4,26.97,1575.65,Month-to-month,Fiber optic,Mailed check,Yes,3,No,Yes,No
CUST00182,23.0,Male,5,25.82,1780.04,Month-to-month,Fiber optic,Mailed check,No,1,Yes,Yes,No
CUST00183,45.0,Female,1,112.7,2560.86,Month-to-month,DSL,Bank transfer,No,1,No,No,No
CUST00184,45.0,Female,5,84.85,5750.58,Month-to-month,Fiber optic,Bank transfer,No,1,No,No,No
CUST00185,61.0,Female,5,57.96,3618.65,Month-to-month,DSL,Credit card,Yes,3,No,No,No
CUST00186,61.0,Female,0,95.51,216.12,Two year,Fiber optic,Credit card,Yes,2,Yes,No,No
CUST00187,37.0,Female,0,87.23,133.29,Two year,DSL,Electronic check,No,1,Yes,Yes,Yes
CUST00188,47.0,Female,10,73.12,9303.63,Two year,DSL,Bank transfer,No,1,Yes,Yes,No
CUST00189,28.0,Female,9,29.89,3337.87,Two year,DSL,Credit card,No,1,No,No,No
CUST00190,45.0,Male,2,101.22,3348.18,Month-to-month,DSL,Mailed check,No,3,Yes,No,Yes
CUST00191,42.0,Female,9,106.6,12424.1,Month-to-month,DSL,Bank transfer,No,3,No,Yes,No
CUST00192,56.0,Female,9,37.22,4187.22,Month-to-month,No,Electronic check,No,4,No,Yes,No
CUST00193,50.0,Female,2,105.05,2830.55,Month-to-month,DSL,Electronic check,No,3,Yes,Yes,No
CUST00194,18.0,Female,3,107.78,4109.26,One year,Fiber optic,Mailed check,No,3,No,Yes,Yes
CUST00195,44.0,Female,1,74.94,1582.02,Two year,DSL,Credit card,No,3,No,No,No
CUST00196,69.0,Female,8,85.62,8729.37,One year,Fiber optic,Mailed check,Yes,1,No,Yes,No
CUST00197,30.0,Male,9,58.22,6553.18,Two year,DSL,Credit card,No,1,No,No,No
CUST00198,58.0,Female,10,48.18,6283.79,Month-to-month,DSL,Bank transfer,No,3,No,No,No
CUST00199,20.0,Female,6,,7332.64,Month-to-month,DSL,Electronic check,No,0,Yes,Yes,Yes
CUST00200,56.0,Male,6,106.19,8356.94,Month-to-month,Fiber optic,Credit card,No,1,No,No,Yes
CUST00201,23.0,Male,5,85.41,5908.42,Two year,DSL,Mailed check,No,2,No,No,Yes
CUST00202,25.0,Female,2,71.16,2417.41,Two year,No,Bank transfer,No,3,Yes,No,No
CUST00203,44.0,Female,5,35.89,2460.14,One year,Fiber optic,Credit card,No,0,Yes,No,No
CUST00204,26.0,Female,7,25.35,2277.45,Month-to-month,No,Bank transfer,No,1,No,Yes,No
CUST00205,54.0,Male,7,64.57,5757.85,Month-to-month,No,Bank transfer,No,1,Yes,Yes,No
CUST00206,50.0,Male,10,24.93,3228.14,Month-to-month,Fiber optic,Mailed check,No,2,No,Yes,No
CUST00207,68.0,Female,8,,7900.48,Two year,No,Mailed check,Yes,2,Yes,No,Yes
CUST00208,59.0,Female,0,58.27,509.76,Month-to-month,DSL,Bank transfer,No,1,Yes,No,Yes
CUST00209,61.0,Male,0,95.72,1033.24,Month-to-month,No,Bank transfer,Yes,0,Yes,Yes,No
CUST00210,41.0,Male,2,50.56,1773.38,Month-to-month,DSL,Credit card,No,1,No,No,No
CUST00211,32.0,Male,2,79.3,2224.75,Two year,Fiber optic,Mailed check,No,1,Yes,Yes,No
CUST00212,49.0,Male,9,73.77,8193.4,Month-to-month,Fiber optic,Credit card,No,3,Yes,Yes,No
CUST00213,49.0,Female,7,20.47,1798.78,One year,No,Electronic check,No,2,Yes,No,Yes
CUST00214,41.0,Male,9,27.24,3194.3,Month-to-month,No,Credit card,No,4,No,Yes,No
CUST00215,58.0,Male,0,49.04,248.66,Month-to-month,DSL,Bank transfer,No,3,Yes,No,No
CUST00216,69.0,Female,1,108.22,1613.27,Month-to-month,Fiber optic,Electronic check,Yes,1,Yes,Yes,No
CUST00217,66.0,Male,1,34.7,488.65,Two year,Fiber optic,Credit card,Yes,3,Yes,No,No
CUST00218,66.0,Female,2,91.09,2605.21,Two year,Fiber optic,Electronic check,Yes,4,Yes,No,Yes
CUST00219,69.0,Male,5,117.34,7333.46,Month-to-month,DSL,Mailed check,Yes,0,Yes,Yes,No
CUST00220,29.0,Female,0,99.06,269.45,Month-to-month,Fiber optic,Credit card,No,2,Yes,Yes,No
CUST00221,56.0,Male,1,44.29,908.95,Two year,No,Credit card,No,3,Yes,No,Yes
CUST00222,19.0,Female,0,110.84,134.9,One year,Fiber optic,Mailed check,No,3,No,No,No
CUST00223,20.0,Female,4,29.31,1474.09,Month-to-month,Fiber optic,Credit card,No,3,No,No,No
CUST00224,66.0,Male,6,66.81,5497.66,Month-to-month,Fiber optic,Electronic check,Yes,2,Yes,No,No
CUST00225,54.0,Female,7,108.75,10254.48,One year,Fiber optic,Mailed check,No,3,No,Yes,No
CUST00226,66.0,Female,9,84.13,9474.86,One year,No,Electronic check,Yes,4,Yes,Yes,No
CUST00227,34.0,Male,0,61.36,120.72,Two year,Fiber optic,Credit card,No,4,Yes,No,Yes
CUST00228,66.0,Female,6,49.28,3979.59,Two year,Fiber optic,Credit card,Yes,0,Yes,No,No
CUST00229,19.0,Female,4,57.51,3045.81,Month-to-month,No,Credit card,No,2,No,No,No
CUST00230,19.0,Male,9,70.89,7762.46,One year,DSL,Credit card,No,3,No,Yes,No
CUST00231,45.0,Male,0,51.9,142.0,Month-to-month,No,Electronic check,No,1,No,Yes,Yes
CUST00232,40.0,Female,2,116.9,3098.94,One year,Fiber optic,Credit card,No,1,Yes,No,No
CUST00233,54.0,Female,6,113.31,9005.91,One year,No,Mailed check,No,2,No,No,Yes
CUST00234,49.0,Female,9,107.07,12728.41,Month-to-month,DSL,Mailed check,No,1,No,No,No
CUST00235,50.0,Female,0,62.18,604.63,Two year,Fiber optic,Bank transfer,No,2,Yes,Yes,No
CUST00236,18.0,Female,6,89.13,7042.31,One year,No,Mailed check,No,2,Yes,Yes,No
CUST00237,36.0,Male,4,110.28,5915.83,Two year,Fiber optic,Bank transfer,No,2,Yes,No,No
CUST00238,19.0,Female,0,105.04,819.88,Month-to-month,DSL,Mailed check,No,2,Yes,No,No
CUST00239,61.0,Male,0,61.43,361.33,Month-to-month,DSL,Mailed check,Yes,2,Yes,No,No
CUST00240,43.0,Male,0,31.24,115.81,One year,Fiber optic,Credit card,No,1,Yes,Yes,Yes
CUST00241,49.0,Male,10,27.56,3540.67,Two year,Fiber optic,Mailed check,No,3,Yes,No,No
CUST00242,23.0,Male,8,77.71,8284.33,Month-to-month,Fiber optic,Credit card,No,2,Yes,No,No
CUST00243,49.0,Female,10,84.26,10541.06,Month-to-month,Fiber optic,Credit card,No,2,No,Yes,Yes
CUST00244,21.0,Female,2,104.98,3596.29,Month-to-month,No,Mailed check,No,0,No,No,Yes
CUST00245,28.0,Female,4,49.25,2646.79,Month-to-month,Fiber optic,Electronic check,No,3,Yes,Yes,No
CUST00246,34.0,Male,10,36.75,4608.99,Two year,DSL,Credit card,No,2,No,No,No
CUST00247,55.0,Male,9,57.9,6329.14,One year,DSL,Mailed check,No,2,Yes,Yes,No
CUST00248,41.0,Female,8,55.36,5793.32,Two year,Fiber optic,Electronic check,No,0,No,Yes,No
CUST00249,22.0,Male,5,33.25,2323.59,One year,Fiber optic,Mailed check,No,3,No,Yes,Yes
CUST00250,69.0,Female,8,87.23,9098.01,Month-to-month,Fiber optic,Mailed check,Yes,1,No,No,Yes
CUST00251,51.0,Male,7,,6141.95,One year,Fiber optic,Electronic check,No,0,Yes,No,No
CUST00252,23.0,Male,7,92.11,7934.01,One year,Fiber optic,Mailed check,No,2,Yes,Yes,No
CUST00253,39.0,Male,0,55.27,403.55,Two year,No,Credit card,No,0,Yes,No,No
CUST00254,28.0,Male,8,52.57,5331.47,Month-to-month,No,Bank transfer,No,0,Yes,Yes,No
CUST00255,65.0,Male,5,67.26,4420.33,Month-to-month,DSL,Bank transfer,Yes,3,Yes,Yes,No
CUST00256,33.0,Male,8,107.74,11597.76,Month-to-month,No,Mailed check,No,4,Yes,Yes,No
CUST00257,50.0,Male,2,24.03,792.1,One year,Fiber optic,Bank transfer,No,2,No,No,No
CUST00258,26.0,Female,2,100.48,2967.14,Month-to-month,Fiber optic,Bank transfer,No,3,No,Yes,No
CUST00259,23.0,Female,5,56.9,3482.85,One year,Fiber optic,Bank transfer,No,2,Yes,No,No
CUST00260,33.0,Male,8,105.46,10269.17,Two year,No,Credit card,No,2,Yes,No,No
CUST00261,46.0,Male,6,100.22,8071.0,Month-to-month,No,Credit card,No,3,No,Yes,No
