CustomerID,Gender,TenureMonths,Contract,PaymentMethod,MonthlyCharges,TotalCharges,TechSupport,InternetService,SeniorCitizen,Churn
TEL-1046,Female,1,Two year,Credit card,56.95,500.0,No,DSL,0,No
TEL-1047,Male,36,One year,Credit card,56.95,500.0,No,Fiber optic,0,No
TEL-1048,Female,24,Month-to-month,Mailed check,56.95,4500.0,No,No,0,Yes
TEL-1049,Female,48,One year,Electronic check,29.85,100.5,No,No,0,No
TEL-1050,Male,24,Two year,Credit card,29.85,,Yes,Fiber optic,1,No
TEL-1051,Female,60,One year,Bank transfer,56.95,1200.0,No internet,No,0,No
TEL-1052,Male,24,Two year,Credit card,29.85,4500.0,Yes,Fiber optic,1,Yes
TEL-1053,Female,24,Two year,Mailed check,29.85,500.0,Yes,DSL,0,No
TEL-1054,Male,60,Month-to-month,Electronic check,89.9,1200.0,No,No,0,Yes
TEL-1055,Female,12,Month-to-month,Mailed check,ErrorVal,100.5,No,Fiber optic,0,No
TEL-1056,Female,1,One year,Bank transfer,89.9,4500.0,No,Fiber optic,1,No
TEL-1057,Male,1,Month-to-month,Bank transfer,29.85,100.5,Yes,Fiber optic,0,No
TEL-1058,Male,48,Two year,Bank transfer,29.85,4500.0,No,No,1,No
TEL-1059,Male,24,Two year,Mailed check,ErrorVal,,No,No,1,No
TEL-1060,Male,36,Month-to-month,Credit card,29.85,100.5,No internet,Fiber optic,1,No
TEL-1061,Male,6,Month-to-month,Mailed check,29.85,100.5,No internet,DSL,0,No
TEL-1062,Male,1,One year,Electronic check,56.95,1200.0,No,Fiber optic,0,Yes
TEL-1063,Male,1,Month-to-month,Credit card,89.9,100.5,No,Fiber optic,0,No
TEL-1064,Male,12,Two year,Bank transfer,89.9,4500.0,No,DSL,0,Yes
TEL-1065,Female,24,Month-to-month,Mailed check,29.85,100.5,Yes,Fiber optic,0,No
TEL-1066,Female,12,One year,Bank transfer,29.85,100.5,No,Fiber optic,0,No
TEL-1067,Male,12,Month-to-month,Bank transfer,ErrorVal,,No,DSL,0,No
TEL-1068,Female,60,One year,Electronic check,29.85,1200.0,No internet,DSL,0,No
TEL-1069,Female,6,Month-to-month,Credit card,89.9,4500.0,Yes,DSL,0,No
TEL-1070,Female,24,One year,Electronic check,89.9,500.0,No,No,0,No
TEL-1071,Female,48,Month-to-month,Electronic check,89.9,1200.0,No,DSL,0,No
TEL-1072,Male,12,One year,Electronic check,56.95,500.0,No,DSL,0,Yes
TEL-1073,Female,24,Two year,Bank transfer,29.85,1200.0,Yes,Fiber optic,0,No
TEL-1074,Male,60,Month-to-month,Electronic check,56.95,1200.0,No internet,DSL,0,Yes
TEL-1075,Female,60,Month-to-month,Electronic check,105.0,500.0,No,DSL,0,No
TEL-1076,Female,1,Month-to-month,Credit card,105.0,500.0,No,DSL,0,No
TEL-1077,Female,60,One year,Credit card,29.85,100.5,Yes,Fiber optic,0,No
TEL-1078,Male,12,One year,Electronic check,29.85,1200.0,No,Fiber optic,0,No
TEL-1079,Female,6,Month-to-month,Credit card,105.0,100.5,No,DSL,0,No
TEL-1080,Male,12,Month-to-month,Credit card,89.9,1200.0,Yes,Fiber optic,0,No
TEL-1081,Female,-1,Month-to-month,Electronic check,105.0,100.5,Yes,No,0,No
TEL-1082,Male,12,One year,Bank transfer,29.85,1200.0,No internet,DSL,0,No
TEL-1083,Female,6,Month-to-month,Electronic check,56.95,1200.0,Yes,DSL,0,No
TEL-1084,Male,24,Two year,Credit card,89.9,100.5,Yes,DSL,0,No
TEL-1085,Male,6,Month-to-month,Bank transfer,89.9,100.5,No,Fiber optic,0,No
TEL-1086,Female,1,One year,Mailed check,56.95,100.5,No,Fiber optic,0,Yes
TEL-1087,Male,1,Month-to-month,Bank transfer,29.85,1200.0,Yes,DSL,0,No
TEL-1088,Female,1,Month-to-month,Credit card,56.95,4500.0,No,Fiber optic,0,No
TEL-1089,Female,1,One year,Bank transfer,29.85,100.5,Yes,DSL,0,Yes
TEL-1090,Female,1,One year,Electronic check,56.95,1200.0,Yes,Fiber optic,0,Yes
TEL-1091,Female,24,Two year,Mailed check,ErrorVal,500.0,Yes,Fiber optic,1,No
TEL-1092,Female,1,Month-to-month,Mailed check,56.95,500.0,No internet,DSL,0,No
TEL-1093,Female,6,Month-to-month,Mailed check,105.0,,Yes,Fiber optic,0,Yes
TEL-1094,Female,60,One year,Credit card,29.85,500.0,Yes,DSL,0,No
TEL-1095,Female,12,One year,Credit card,89.9,500.0,No,Fiber optic,0,Yes
TEL-1096,Female,36,Month-to-month,Mailed check, ,100.5,No internet,DSL,1,No
TEL-1097,Female,1,Month-to-month,Bank transfer,29.85,100.5,Yes,No,0,No
TEL-1098,Female,1,Month-to-month,Mailed check,29.85,100.5,No,DSL,0,No
TEL-1099,Male,1,Two year,Bank transfer,56.95,100.5,Yes,No,1,No
TEL-1100,Male,1,Month-to-month,Bank transfer,29.85,1200.0,No,DSL,0,Yes
TEL-1101,Female,6,Month-to-month,Credit card,89.9,500.0,No,Fiber optic,0,Yes
TEL-1102,Female,1,Month-to-month,Bank transfer,105.0,500.0,No,DSL,1,No
TEL-1103,Female,1,Month-to-month,Mailed check,56.95,100.5,No,No,0,No
TEL-1104,Female,1,Month-to-month,Credit card,29.85,100.5,No,DSL,0,Yes
TEL-1105,Female,12,Month-to-month,Electronic check,56.95,1200.0,Yes,DSL,0,No
TEL-1106,Female,6,Month-to-month,Electronic check,89.9,,No,Fiber optic,0,No
TEL-1107,Female,12,Two year,Credit card,29.85,100.5,Yes,DSL,0,No
TEL-1108,Female,24,Month-to-month,Mailed check,56.95,4500.0,No,DSL,1,Yes
TEL-1109,Male,36,Month-to-month,Electronic check,89.9,500.0,No internet,No,0,Yes
TEL-1110,Female,1,Two year,Electronic check,89.9,500.0,No internet,No,0,No
TEL-1111,Male,48,One year,Bank transfer,29.85,500.0,No internet,DSL,1,No
TEL-1112,Female,24,Month-to-month,Bank transfer,89.9,100.5,No,No,0,Yes
TEL-1113,Female,1,Month-to-month,Mailed check,29.85,100.5,No,Fiber optic,0,No
TEL-1114,Male,60,Month-to-month,Credit card,29.85,1200.0,Yes,DSL,0,No
TEL-1115,Female,60,One year,Mailed check,105.0,500.0,No,Fiber optic,1,No
TEL-1116,Male,1,Two year,Credit card,89.9,,No,Fiber optic,1,Yes
TEL-1117,Female,6,One year,Electronic check,29.85,500.0,No,No,0,No
TEL-1118,Female,48,One year,Bank transfer,29.85,100.5,No,DSL,0,No
TEL-1119,Male,36,One year,Mailed check,29.85,1200.0,Yes,Fiber optic,0,No
TEL-1120,Female,1,Month-to-month,Mailed check,29.85,100.5,No,DSL,1,No
TEL-1121,Male,6,Month-to-month,Credit card,29.85,500.0,No internet,DSL,0,No
TEL-1122,Female,12,One year,Credit card,29.85,1200.0,Yes,DSL,0,No
TEL-1123,Male,12,Two year,Mailed check,56.95,,No,No,1,No
TEL-1124,Male,24,Month-to-month,Credit card,89.9,1200.0,No internet,No,0,No
TEL-1125,Female,12,One year,Mailed check,89.9,1200.0,No,Fiber optic,0,No
TEL-1126,Female,12,Month-to-month,Mailed check,89.9,1200.0,No,Fiber optic,0,No
TEL-1127,Male,36,Month-to-month,Mailed check,29.85,,Yes,DSL,0,Yes
TEL-1128,Female,1,Month-to-month,Electronic check,ErrorVal,100.5,No,DSL,0,Yes
TEL-1129,Female,6,Month-to-month,Credit card,105.0,100.5,No internet,DSL,1,No
TEL-1130,Female,36,One year,Bank transfer,105.0,100.5,No,DSL,0,Yes
TEL-1131,Male,60,Month-to-month,Bank transfer,105.0,100.5,No,Fiber optic,0,No
TEL-1132,Male,24,One year,Credit card,105.0,1200.0,Yes,Fiber optic,0,Yes
TEL-1133,Male,24,One year,Mailed check,56.95,1200.0,Yes,DSL,0,No
TEL-1134,Male,1,Two year,Bank transfer,29.85,500.0,No internet,DSL,0,No
TEL-1135,Male,12,Month-to-month,Bank transfer,89.9,100.5,No,DSL,0,No
TEL-1136,Male,24,Month-to-month,Credit card,89.9,1200.0,No,Fiber optic,1,No
TEL-1137,Male,6,Month-to-month,Bank transfer,89.9,500.0,Yes,No,0,Yes
TEL-1138,Male,6,Two year,Mailed check,56.95,1200.0,No,Fiber optic,0,No
TEL-1139,Male,12,Two year,Credit card,29.85,500.0,No internet,No,0,No
TEL-1140,Female,1,Month-to-month,Mailed check,56.95,500.0,No,Fiber optic,1,No
TEL-1141,Male,6,Two year,Bank transfer,105.0,100.5,Yes,DSL,0,No
TEL-1142,Female,6,Month-to-month,Bank transfer,56.95,100.5,No,DSL,0,No
TEL-1143,Female,6,One year,Mailed check,56.95,4500.0,No,No,0,No
TEL-1144,Female,1,Month-to-month,Electronic check,29.85,,No,Fiber optic,1,Yes
TEL-1145,Male,60,One year,Bank transfer,56.95,1200.0,No internet,DSL,0,No
TEL-1146,Male,24,Month-to-month,Electronic check,105.0,100.5,No,Fiber optic,0,No
TEL-1147,Male,36,Two year,Bank transfer,89.9,500.0,No internet,Fiber optic,0,Yes
TEL-1148,Male,48,One year,Electronic check,89.9,1200.0,No,Fiber optic,0,No
TEL-1149,Female,12,One year,Electronic check,56.95,1200.0,Yes,No,0,No
TEL-1150,Male,1,Month-to-month,Electronic check,89.9,100.5,No,Fiber optic,0,No
TEL-1151,Male,24,Month-to-month,Mailed check,29.85,100.5,Yes,Fiber optic,0,Yes
TEL-1152,Male,24,Month-to-month,Electronic check,89.9,1200.0,No internet,DSL,1,No
TEL-1153,Male,36,Month-to-month,Electronic check,56.95,500.0,No,DSL,1,Yes
TEL-1154,Male,12,Month-to-month,Electronic check,56.95,100.5,No,DSL,0,Yes
TEL-1155,Female,1,Two year,Bank transfer,89.9,100.5,No,DSL,1,No
TEL-1156,Male,6,One year,Electronic check,105.0,500.0,Yes,Fiber optic,0,No
TEL-1157,Female,12,Month-to-month,Bank transfer,29.85,4500.0,No,Fiber optic,0,No
TEL-1158,Male,24,Month-to-month,Electronic check,105.0,,No,DSL,0,No
TEL-1159,Female,24,Month-to-month,Electronic check,29.85,500.0,Yes,No,0,Yes
TEL-1160,Male,12,One year,Mailed check,56.95,500.0,No,DSL,0,Yes
TEL-1161,Male,-1,Month-to-month,Bank transfer,29.85,100.5,Yes,DSL,0,No
TEL-1162,Female,24,Two year,Electronic check,56.95,500.0,No,DSL,0,No
TEL-1163,Female,6,Month-to-month,Bank transfer,56.95,500.0,No,DSL,0,No
TEL-1164,Female,1,Two year,Bank transfer,29.85,1200.0,Yes,DSL,0,No
TEL-1165,Male,1,Two year,Credit card,56.95,500.0,No internet,Fiber optic,0,No
TEL-1166,Female,6,Month-to-month,Mailed check,105.0,100.5,Yes,Fiber optic,1,No
TEL-1167,Male,1,Two year,Mailed check,29.85,100.5,Yes,No,0,No
TEL-1168,Male,1,Month-to-month,Mailed check,89.9,500.0,Yes,DSL,0,No
TEL-1169,Female,6,Two year,Credit card,56.95,100.5,No,DSL,0,No
TEL-1170,Female,1,Month-to-month,Credit card,89.9,100.5,No,DSL,0,Yes
TEL-1171,Male,60,Two year,Mailed check,29.85,,No,Fiber optic,1,Yes
TEL-1172,Male,1,Two year,Credit card,29.85,500.0,Yes,DSL,0,No
TEL-1173,Female,24,Two year,Credit card,29.85,500.0,Yes,No,0,No
TEL-1174,Female,12,One year,Credit card,29.85,4500.0,No,Fiber optic,0,No
TEL-1175,Female,-1,Month-to-month,Mailed check,29.85,,No internet,Fiber optic,0,No
TEL-1176,Male,1,Month-to-month,Mailed check,89.9,500.0,No internet,Fiber optic,1,No
TEL-1177,Male,12,Month-to-month,Mailed check,105.0,4500.0,Yes,DSL,0,Yes
TEL-1178,Male,-5,Month-to-month,Credit card,105.0,500.0,No,DSL,0,No
TEL-1179,Male,60,One year,Mailed check,89.9,500.0,No internet,DSL,0,No
TEL-1180,Male,48,Month-to-month,Credit card,29.85,500.0,No,Fiber optic,0,No
TEL-1181,Male,6,Two year,Electronic check,29.85,1200.0,No internet,DSL,0,No
TEL-1182,Female,1,One year,Credit card,56.95,1200.0,Yes,DSL,0,No
TEL-1183,Male,36,Two year,Bank transfer,29.85,500.0,No internet,No,0,Yes
TEL-1184,Male,60,Month-to-month,Mailed check,56.95,100.5,No,DSL,0,No
TEL-1185,Male,24,Two year,Mailed check,56.95,1200.0,No internet,No,1,No
TEL-1186,Female,24,Two year,Bank transfer,56.95,100.5,No,Fiber optic,0,No
TEL-1187,Male,6,Month-to-month,Credit card,56.95,500.0,No,DSL,0,Yes
TEL-1188,Male,48,One year,Electronic check,105.0,1200.0,No internet,DSL,0,No
TEL-1189,Female,1,One year,Bank transfer,89.9,1200.0,Yes,DSL,0,No
TEL-1190,Male,6,Month-to-month,Bank transfer,56.95,1200.0,No,Fiber optic,0,Yes
TEL-1191,Male,12,Month-to-month,Credit card,105.0,4500.0,No,Fiber optic,0,No
TEL-1192,Male,24,Month-to-month,Mailed check,ErrorVal,500.0,No,Fiber optic,0,No
TEL-1193,Male,6,Month-to-month,Credit card,56.95,1200.0,No internet,No,0,No
TEL-1194,Male,1,Month-to-month,Bank transfer,56.95,1200.0,Yes,Fiber optic,1,No
TEL-1195,Female,24,Month-to-month,Bank transfer,56.95,100.5,No,DSL,0,No
TEL-1196,Female,6,Month-to-month,Mailed check,105.0,100.5,No,DSL,0,No
TEL-1197,Female,24,Month-to-month,Mailed check,105.0,100.5,Yes,No,0,No
TEL-1198,Male,1,Two year,Mailed check,29.85,500.0,No,DSL,1,No
TEL-1199,Male,12,Month-to-month,Credit card,56.95,1200.0,Yes,DSL,1,No
TEL-1200,Male,24,Two year,Mailed check,56.95,4500.0,No,Fiber optic,0,No
TEL-1201,Female,1,Month-to-month,Bank transfer,56.95,100.5,No internet,Fiber optic,0,No
TEL-1202,Male,6,Month-to-month,Bank transfer,29.85,100.5,No,No,0,Yes
TEL-1203,Male,1,Month-to-month,Electronic check,105.0,,No,Fiber optic,0,No
TEL-1204,Female,1,Month-to-month,Credit card,89.9,100.5,No internet,DSL,1,No
TEL-1205,Male,-1,Month-to-month,Electronic check,105.0,500.0,No,No,0,No
TEL-1206,Female,6,One year,Bank transfer,105.0,500.0,No internet,DSL,0,No
TEL-1207,Female,48,Month-to-month,Electronic check,89.9,500.0,No,DSL,0,No
TEL-1208,Female,6,One year,Bank transfer,56.95,100.5,No internet,Fiber optic,0,No
TEL-1209,Male,36,One year,Electronic check,89.9,100.5,Yes,DSL,0,No
TEL-1210,Male,48,Month-to-month,Mailed check,29.85,100.5,No internet,Fiber optic,0,No
TEL-1211,Male,24,Month-to-month,Electronic check,89.9,500.0,Yes,DSL,0,Yes
TEL-1212,Male,12,One year,Mailed check,29.85,500.0,No,Fiber optic,0,No
TEL-1213,Male,12,Month-to-month,Mailed check,89.9,100.5,No,DSL,0,No
TEL-1214,Male,6,Month-to-month,Credit card,29.85,1200.0,No,Fiber optic,0,No
TEL-1215,Male,60,Two year,Mailed check,29.85,4500.0,No,No,0,No
TEL-1216,Female,48,Month-to-month,Mailed check,29.85,100.5,No,DSL,0,No
TEL-1217,Male,-5,One year,Electronic check,29.85,500.0,No,DSL,0,No
TEL-1218,Female,1,Two year,Bank transfer,89.9,1200.0,Yes,DSL,1,No
TEL-1219,Male,36,Month-to-month,Credit card,89.9,100.5,Yes,DSL,1,Yes
TEL-1220,Male,60,Month-to-month,Mailed check,56.95,500.0,Yes,Fiber optic,1,Yes
TEL-1221,Male,1,Month-to-month,Credit card,29.85,1200.0,No,Fiber optic,0,No
TEL-1222,Female,1,Month-to-month,Electronic check,29.85,4500.0,Yes,DSL,0,No
TEL-1223,Female,36,Month-to-month,Mailed check,29.85,4500.0,No,DSL,0,Yes
TEL-1224,Female,24,One year,Electronic check,29.85,500.0,No,DSL,1,No
TEL-1225,Female,48,Month-to-month,Credit card,105.0,1200.0,Yes,Fiber optic,1,No
TEL-1226,Male,1,Month-to-month,Electronic check,29.85,500.0,No,DSL,1,No
TEL-1227,Female,48,Two year,Credit card,56.95,1200.0,No internet,No,0,No
TEL-1228,Male,6,Two year,Electronic check,29.85,500.0,Yes,Fiber optic,1,No
TEL-1229,Male,1,One year,Credit card,29.85,100.5,No,DSL,0,No
TEL-1230,Female,1,Month-to-month,Bank transfer,56.95,1200.0,No,Fiber optic,0,No
TEL-1231,Female,48,One year,Electronic check,89.9,500.0,No,No,0,No
TEL-1232,Female,36,Month-to-month,Electronic check,29.85,500.0,No,Fiber optic,0,Yes
TEL-1233,Female,24,Month-to-month,Bank transfer,29.85,,No,DSL,0,No
TEL-1234,Female,12,Month-to-month,Bank transfer,56.95,100.5,No,DSL,0,No
TEL-1235,Female,60,Two year,Electronic check,29.85,500.0,Yes,No,0,No
TEL-1236,Female,12,Month-to-month,Bank transfer,29.85,100.5,No,Fiber optic,0,No
TEL-1237,Female,48,Month-to-month,Mailed check,ErrorVal,1200.0,No,Fiber optic,1,Yes
TEL-1238,Male,12,Month-to-month,Credit card,89.9,1200.0,Yes,No,0,No
TEL-1239,Female,12,Month-to-month,Credit card,56.95,500.0,No,No,0,No
TEL-1240,Female,12,Two year,Credit card,56.95,1200.0,No internet,No,1,No
TEL-1241,Male,6,One year,Mailed check,56.95,500.0,No,DSL,1,No
TEL-1242,Female,36,One year,Bank transfer,56.95,1200.0,No,Fiber optic,0,No
TEL-1243,Male,24,Month-to-month,Bank transfer,89.9,500.0,No internet,Fiber optic,0,No
TEL-1244,Male,6,Month-to-month,Electronic check,89.9,500.0,No,Fiber optic,0,No
TEL-1245,Female,60,Month-to-month,Bank transfer,29.85,,No,Fiber optic,0,No
TEL-1246,Male,12,Month-to-month,Electronic check,56.95,100.5,No,DSL,0,No
TEL-1247,Male,24,Month-to-month,Mailed check,56.95,100.5,No internet,Fiber optic,1,No
TEL-1248,Male,60,One year,Credit card,105.0,500.0,No,Fiber optic,0,Yes
TEL-1249,Male,24,Month-to-month,Credit card,89.9,,No,DSL,1,Yes
TEL-1250,Female,1,Month-to-month,Credit card,56.95,500.0,No,Fiber optic,1,Yes
TEL-1251,Male,60,Month-to-month,Bank transfer,29.85,100.5,No internet,DSL,1,Yes
TEL-1252,Female,24,Month-to-month,Electronic check,89.9,500.0,No,DSL,0,No
TEL-1253,Male,6,Month-to-month,Electronic check,29.85,500.0,Yes,DSL,1,No
TEL-1254,Male,1,Two year,Mailed check,56.95,100.5,No internet,Fiber optic,0,No
TEL-1255,Male,48,Two year,Bank transfer,29.85,1200.0,No,Fiber optic,0,Yes
TEL-1256,Male,24,Two year,Mailed check,89.9,,Yes,Fiber optic,0,No
TEL-1257,Female,24,Month-to-month,Electronic check,29.85,500.0,No,Fiber optic,0,Yes
TEL-1258,Female,60,Month-to-month,Electronic check,56.95,500.0,No,No,0,No
TEL-1259,Male,48,Month-to-month,Credit card,105.0,500.0,No internet,DSL,0,Yes
TEL-1260,Male,1,Month-to-month,Bank transfer,29.85,100.5,Yes,DSL,0,No
TEL-1261,Female,6,Two year,Electronic check,56.95,4500.0,No internet,No,0,No
TEL-1262,Male,6,Month-to-month,Credit card,56.95,500.0,No,DSL,0,Yes
TEL-1263,Male,36,Month-to-month,Bank transfer,29.85,500.0,Yes,No,0,No
TEL-1264,Male,1,Month-to-month,Mailed check,89.9,1200.0,No internet,No,1,Yes
TEL-1265,Female,24,Month-to-month,Bank transfer,29.85,500.0,No,Fiber optic,0,No
TEL-1266,Female,48,One year,Bank transfer,56.95,1200.0,Yes,No,0,No
TEL-1267,Female,60,Month-to-month,Electronic check,56.95,100.5,No,DSL,0,No
TEL-1268,Male,6,Month-to-month,Electronic check,89.9,4500.0,No internet,DSL,0,No
TEL-1269,Male,48,Month-to-month,Bank transfer,89.9,,No,Fiber optic,0,No
TEL-1270,Female,1,Month-to-month,Electronic check,29.85,1200.0,Yes,DSL,0,No
TEL-1271,Female,48,One year,Electronic check,29.85,,Yes,No,1,No
TEL-1272,Female,1,Two year,Electronic check,89.9,100.5,Yes,DSL,0,No
TEL-1273,Female,12,Two year,Credit card,56.95,500.0,No,Fiber optic,0,No
TEL-1274,Male,48,One year,Credit card,105.0,1200.0,No,Fiber optic,0,No
TEL-1275,Female,1,Month-to-month,Bank transfer,105.0,500.0,Yes,Fiber optic,1,Yes
TEL-1276,Male,6,One year,Electronic check,105.0,500.0,Yes,DSL,0,No
TEL-1277,Female,36,Month-to-month,Credit card,56.95,500.0,No,DSL,0,No
TEL-1278,Male,36,Month-to-month,Bank transfer,56.95,100.5,No internet,No,0,No
TEL-1279,Female,24,Two year,Electronic check,89.9,500.0,No,DSL,0,No
TEL-1280,Female,36,Month-to-month,Mailed check,56.95,100.5,No internet,No,0,No
TEL-1281,Female,24,Two year,Electronic check,29.85,1200.0,No,Fiber optic,0,Yes
TEL-1282,Female,6,Month-to-month,Electronic check,105.0,100.5,Yes,Fiber optic,0,Yes
TEL-1283,Male,6,One year,Credit card,105.0,100.5,No internet,Fiber optic,0,No
TEL-1284,Female,1,One year,Bank transfer,56.95,500.0,No,DSL,0,No
TEL-1285,Male,60,Two year,Bank transfer,29.85,500.0,No,Fiber optic,0,Yes
TEL-1286,Male,24,One year,Credit card,56.95,4500.0,No internet,No,0,No
TEL-1287,Male,12,One year,Electronic check,105.0,500.0,Yes,Fiber optic,0,No
TEL-1288,Male,12,Month-to-month,Mailed check,105.0,500.0,Yes,No,1,No
TEL-1289,Female,60,Month-to-month,Electronic check,29.85,4500.0,No,Fiber optic,1,No
TEL-1290,Male,1,Month-to-month,Electronic check,29.85,500.0,Yes,DSL,0,Yes
TEL-1291,Male,24,One year,Mailed check,105.0,100.5,Yes,DSL,0,No
TEL-1292,Male,24,Month-to-month,Credit card,56.95,500.0,Yes,No,0,No
TEL-1293,Female,24,One year,Bank transfer,56.95,,Yes,DSL,0,No
TEL-1294,Female,1,Month-to-month,Credit card,ErrorVal,500.0,No,No,0,Yes
TEL-1295,Female,60,Month-to-month,Credit card,29.85,100.5,Yes,No,1,Yes
TEL-1296,Female,60,One year,Electronic check,89.9,100.5,No,DSL,0,No
TEL-1297,Male,24,Month-to-month,Bank transfer,29.85,100.5,No,DSL,0,No
TEL-1298,Male,36,Month-to-month,Bank transfer,56.95,500.0,No,Fiber optic,0,No
TEL-1299,Female,60,Month-to-month,Credit card,105.0,500.0,Yes,DSL,0,Yes
TEL-1300,Male,36,Two year,Mailed check,56.95,100.5,No,Fiber optic,0,Yes
TEL-1301,Male,1,One year,Credit card, ,,Yes,Fiber optic,0,No
TEL-1302,Male,24,Month-to-month,Mailed check,56.95,1200.0,No,Fiber optic,0,No
TEL-1303,Female,24,Month-to-month,Bank transfer,56.95,500.0,No internet,Fiber optic,1,No
TEL-1304,Female,12,Month-to-month,Credit card,29.85,4500.0,No,DSL,0,No
TEL-1305,Male,36,One year,Electronic check,56.95,100.5,No,Fiber optic,1,No
TEL-1306,Female,60,One year,Credit card,56.95,500.0,No,DSL,1,No
TEL-1307,Female,60,Month-to-month,Bank transfer,29.85,1200.0,No,DSL,0,No
TEL-1308,Female,12,Month-to-month,Electronic check,56.95,4500.0,No internet,Fiber optic,0,No
TEL-1309,Female,1,Month-to-month,Electronic check,56.95,1200.0,No internet,No,0,No
TEL-1310,Female,-1,One year,Mailed check,89.9,100.5,No,DSL,1,No
TEL-1311,Male,48,One year,Electronic check,89.9,,No,Fiber optic,0,No
TEL-1312,Female,1,Month-to-month,Electronic check,89.9,100.5,No internet,Fiber optic,0,No
TEL-1313,Male,60,Month-to-month,Credit card,29.85,4500.0,No internet,DSL,0,No
TEL-1314,Male,60,Month-to-month,Bank transfer,29.85,,No,DSL,0,No
TEL-1315,Female,24,Two year,Mailed check,89.9,100.5,No,No,1,No
